index,TEXT,LANG
18809,arabo hahavi kaija'arini vavaadahaki ida sidaji vagani kani arabo hahavi kaija'arini vakadika'da'di vavikhaki ida vakadinahina kaidivaki sidaji kania,Paumarí
22214,hanekoxono payasoyea oukeke uha koeti koati payasoti pahukoti vanukeke yoko po'inuhiko tutiye akoti inixakana koekuti pahukoku vanukeke ako'o hiyeu vanuke koanemaka oukeke uha koeti xane apeti xunako pahukea koekuti ko'iyeovoku yoko oukekemaka uha koeti natihiko koane oukeke uha koeti po'i ihae iha xane koati hana'iti teyoneti yara koeku ko'oyene koeku apeyeako ra kuveu meum koanemakamo ikenepoke,Terena
10709,isaia tule rarybemyhyre aoma judeu mahadumy wahe sowemy sowemy imahaduo hare tahe ibutumy tarasanamy reakre deuxu ele elemy rotyynykre timybo rarybere myna ijo‑o ruxetoena riwahinykre ijo‑o adehuna riwahinykre riixawidinyrenykremy,Karajá
1153,na ka htem amnhi to mex o ri apa ne amnhi kaxyw kris hkot ajamaxper tyx ne ne ma me kam tirtum kaper jarenh mex o ri me hkot apa ne me ajamaxper mex ne ne me piita me ho mex o ri apa ne me ama ixkinh o ri apa jakama kwa ker ka me axamnhix me kep amrakati xwynhje ma me akaxpore hkwy nhor o apa jao me ama tirtum kinh tyx a amnhi to amnhirit,Apinayé
22595,enepone ipovo jesus u'uhahi koyene koane hohopu-hohopu koyene ako kipoheoti yara kuveu meum iotati kohopu'ikea ne kipohiu kuteati hopu'iyea neko ipovo,Terena
451,ynara tymerose roropa ritonopo omiryme “zuaro matose zuaro se awahtao xine kukurakaryko poko ritonopo a aomiry enetuputyryke kyya xine” moro omi totase oya xine ynanekaroase oya xine ipoko mosenetuputyatose “kyrixtu enetupuhtoko” karyhtao yna a oya xine moro omi ekaroko ynanase oya xine,Apalaí
26426,nhym pedru kum —‍be ujarenh djwynh jakam ne gwaj arym bakinhkumrex dja bar ar ama kikre'a irox nhipex dja bar ama 'o nhipex mojdjema 'o nhipex erijma 'o nhipex ane ar madja kretikam ne pedru umaje jejuma kaben kajgo jare,kayapó
5168,— haꞌe ramo huvixa ombovai vy aipoeꞌi ꞌra haꞌe kuery pe: “anhete aipoaꞌe pevy: kovaꞌe xe-irmao kuery yvyigueveꞌi vaꞌe pe haꞌe nunga pejapo nhavo xevy pe avi pejapo” heꞌi,Guarani
5106,haꞌe gui ma aipoaꞌe ꞌra xejeupe: ‘heta mbaꞌe pora areko heta maꞌetya reguara ay ma apytuꞌu ꞌra akaru ayꞌu haꞌe avyꞌa ꞌra aikovy’ haꞌe ꞌra” heꞌi,Guarani
3205,jesus xira modo waga aguely deus ety idaseray tienomedadaymo deusram dinheru xuduypy etadado kaixa iwaguepa tawala wane izepaom modo agueho izepa awylymo anguy ola nawapyra sawato odaypa awylygue,Bakairi
13643,'ugmug pip komen tinok tu' tu moktu moxaha komen tonemay tu' tu' kuxa mam xop yog xape xop penaha' tu' nox pip 'amniy tox ha,Maxakalí
13178,'ugmu'ate 'ap-tup xa 'ahittup ha topa yog putat ha 'amog nuy tu mo kuma mog nuy pexkox yog hapxop hip nuy pop,Maxakalí
26124,amrebe myjja kuni ketri me ketri ne amijo me ibe idjaer pyta nam tu me ija amim karokumrex ne amim —‍be me wa dja ba mema amak bo nhym me arym tu amim kritu markumrex ba kam arym meo aminho nam a me ija amim ane ta ne kute amim myjja kunime me kuni'a karo kute amim 'a karo kot ne mramri kute o apoxkumrex ne kute o bakumrex djam me ibe idjaerbit ne amijo me ipyta kati myjja kuni: kute amim myjja kuni'a karo kot arym mramri kute o apox ne o bakumrex myj kadjy ne amijo me ibe idjaer pyta bir ba me ikumrex ne ba me tu amim kritu markumrex ne kot ar amijo iba me kuni dja me me ija abenma kum —‍ga me kute kritukot katat ar amijo baja pumu kritu mexti:rekumrex me bama kinhkumrex anhyro ba ja kadjy ne amijo me ipyta,kayapó
5514,haꞌe gui ay voi nhombotavy reia kuery ma haꞌekue rami ae ju ikuai oexa raꞌua rupi rive vy ngoꞌo ae omongyꞌa nonheꞌe rendui huvixa kuery haꞌe ijayvu rei ꞌra ipoꞌakakueve re haꞌe ra anjo yvateve vaꞌe miguel ma anha reve moises retekue re joaka ete ijayvua py voi nonhemboyvatei rakaꞌe anha pe ijayvu vai agua haꞌe rami ꞌrague py “senhor ae taꞌijayvu ndevy” heꞌi,Guarani
17865,hatyo hiyeta heko xotyaxematya hetati xowakiyita xasemehenerehare iraiti hekoiya hatyoharenae xotyaxematya hoka hekoiya hahotyalita xisaona ityani enexe xoaha kakoa,Parecis
25370,tane a nori wa'wa ha te za dure asimi'e na wanhib'apito zo 're asimipari za'ra wa'aba mo za wei apa mori su'u na da'asina te za robze na so 're asimipari u'asi za'ra wa'aba mo,Xavánte
14056,cristo ekawen iba'arem tu osodop judeuyu xe iba'arem gu imen e'em moises emudupmubararaktup: eyju judeuyu i deus kuka judeu'umayu gu o'tae jebekitkiyum i tete ma eyju e'em i itaybit'umayu gu kuka o'tae jebekitkiyum i tuybe e'em ian eyju i eyetabutkarey epesop cekay ip owebe webekitkiyu ixeyu nae buje i eyetakoma epesop cekay ip owebe webekitkiyu ixeyu nae buje i imen e'em kuyatup,Mundurukú
4747,naꞌe upyhyk kanek kury uzeꞌeg wi tupan pe umur urewe iꞌu kar pa urewe pitaitaigatu uzeꞌeg urewe — peꞌu paw rupi nehe kury ty wa ko kanek por nuzawy kwaw heruwy kwer aꞌe azakook putar heruwy kwer ihe nehe teko teteaꞌu wanemiapo kwer ikatu ꞌym maꞌe hekuzaromo ihe nehe aꞌe rupi tupan umunan putar wanemiapo kwer wanuwi aꞌe nehe izuwi uweharaz pa aꞌe nehe nezewe mehe aꞌe teko upuner tupan pyr oho haw rehe aꞌe wa nehe taꞌe heta uwy kwer hakookar wanekuzaromo aꞌe xe tupan zeꞌeg kwehe arer rupi katete aꞌe xe,Guajajara
7180,—‍gambo'ehara'ga koji'i garemimbo'ehara'ga hohe ga ga mbo'epavame ga ga javijitehe ei jesus'ga,Kagwahiva
16606,nxe³­ha²­kxai³­ txa²­wa¹­su³­na²­ wa²­nxuh¹­ ain³­nha²­sxa³­: — jah¹­la²­ wi¹­lhin¹­sxa³­ thai³­ti³­la²­ sa²­hau³­ko³­ta¹­jau³­su²­ wi¹­ju³­ta³­lo³­ta¹­tu¹­xa¹­ nxe³­kxai²­nan²­tu³­ a²­ya³­la³­tu³­ wi¹­ju³­ta³­lo³­te²­ju²­he³­la²­ te²­ya¹­nxe³­sxa³­ a²­nu²­a²­ a³­xa²­ ha³­na³­ka³­lxi³­te³­nah¹­lxi¹­: — jah¹­lai²­na²­ txa²­wan³­txa²­ a³­ne³­to³­hxa³­ti³­hi¹­ta¹­tu¹­xa¹­ nxe³­kxai²­nan²­tu³­ a²­ya³­la³­tu³­ a³­ne³­to³­hxa³­ti³­hi¹­te²­ju²­he³­la²­,Nambikuára
6588,odaa pilatos jeɡee “aɡajipaatalo inoa ɡanotaɡa igaataɡa owidi lotaɡa modakapetaɡagi makaami nilaagedi”,Kadiwéu
6645,jiɡijo me dinaɡaditedini aɡica ane yowooɡodi anodaa diitigilo niɡijoa seete yotetitedi ananati ibaaɡadi ijaaɡijoa seete noledaɡaxiidi oolo digawini anodaa diitigi niɡijoa seete yotetitedi niaanjotedi niɡidiwa seete lapoli loiigi ǥoniotagodi odaa niɡidiwa seete noledaɡaxiidi baɡa niɡijoa seete lapoli loiigi ǥoniotagodi”,Kadiwéu
20586,ikiahatsa zuba wytykyryk nury soho tsimypamykysokonahaze ahamysupehe byihuja ahaharerewabymybarabyihu ja anawaze ahaharere humo ustsa kytsa bo batu mysimyiwyky ahamykni byihuja tynapykyknaha wasaniha ty tsimaha zeka ikiahatsa deus pe tihi: — o ikia zuba tsamysapyreta nawa nizukni tsizubarena tisapyrena iwatsahi mykuretsa — tsimaha iwa tsimytsasokonaha,Rikbaktsa
8069,tope kuprig vy eg my to ky tog eg my ha ti ge eg ty ajag my venh jykre jagy en fig tu nin je tag ha han je ajag tog ke mu ha me: venh kaggra to festa ko tug ni nen u kyvenh ko tug ni ge nen u ty vesog ki ter mu en ko tug ni ge ajag pru tu fag mre ny tug ni ge ajag ty tag ki krom ky tog ha ti jatun my nytimni” venhran ha ve,Kaigáng
15564,hyy ka hajok isaraew buuj rahꞌyy kanaꞌeeh do hyb nꞌaa y eaanh hahyyh: dooh gꞌeeh rapanyyg ena hom kristo ky nꞌaa ha rapanyyg ena hom ne he hahy pꞌop haga do kyy kerih do herꞌoot do ha rapanyyg ena hom ne he ji bahapah: “badak hahyy ba hawꞌaats he sa kyyh keh y nꞌaa bawad dak dawee sa kyyh kaja dak keh y nꞌaa ha” saaw-,Nadëb
9233,ha judeu ruvixa kwery katu ogwahe ou-vy iha-py: —kivaꞌe nheꞌe-py erejapo-ma upea heꞌi ixupe —ejapo katu tuvixa mbaꞌe oroikwaa hagwa nhandejary nheꞌe-py paraꞌe erejapo hagwe ne nheꞌe-py paraꞌe heꞌi ixupe judeu ruvixa kwery,Kaiwá
8527,ajag jagtar han je ag tog ke mu isugrin mumeg tug ni ha ra japo vy ajag kato vasan ke mu ky ag tog veseja kata ajag vam ke mu japo ty ajag jykre ve sor ha ve kura ty  ke ki ke ve ag ty ajag vog konan ke ti isovanh tug ni ag ty ajag ten sor mu ra ky ajag tog rir kryg ja tu venh ke mu ky tog ajag my ser tinh mu he tog hemni venh ran ki” he tog u ty ty epra ke ni ve en ti inh my,Kaigáng
16081,nxe³­te³­na¹­ wen³­su²­ sa²­so¹­sxa³­ nxu²­kwai³­ye³­ye³­lotsxa³­ uh³­wxe³­ka³­tu³­ wxa²­sa²­ha³­lxo¹­so¹­ka³­tu³­ a²­sa³­wi³­ha³­lxi³­nau³­xai²­na²­ i³­ye³­kxi²­ta¹­hxai²­he¹­la²­ i³­ye³­kxi²­te³­nah¹­lxi¹­: — a²­nu²­a²­ i²­li³­te²­ i³­nxa²­ a³­lxi²­sa¹­nha²­kxai³­ we³­sai²­na²­ te²­ya¹­nxe³­ te²­he³­la³­ku³­la³­ sa²­hau³­ko³­tai¹­nin¹­kxai²­nan²­tu³­ txai²­na²­ hxi²­nu¹­san¹­kxa²­ ya¹­nxe³­hi³­nxna³­li¹­ hxi²­nu¹­san¹­kxai²­nan²­tu³­ su³­na²­ i³­sa²­si¹­ha³­sa²­jah¹­lo²­su²­ te²­a²­ hxi²­nu¹­nain¹­kxa²­ ya¹­nxe³­hi³­nxna³­li¹­ hai³­txi³­ txai²­na²­ so¹­lxi³­ hxi²­nu¹­sa²­hi³­nxnxa³­lxi¹­ ta¹­hxai²­he¹­la²­,Nambikuára
4606,naꞌe uhem amo kuza xamari ywy rehe har wa aꞌe pe kury ꞌy piaromo aꞌe kury — emur ꞌy ihewe zakwa heiwez katu ihe iꞌi zezuz izupe ure hemimuꞌe ure oroho taw pe ure kury temiꞌu imeꞌeg kar pa ure kury,Guajajara
5817,ogueroayvu poraague irmao kuery tove penenheꞌe py tapendu nhande-senhor jesus cristo penemboaxya amem,Guarani
26721,kam gedja djeruxare bu'a pyka ja nhidjibe djudejakam me ja amija maje kranh'yr prot ne nhym bep kribe me ja gedja me amikra ket mex ne amija maje kurum kato nhym purkam me jame bakam me jame gedja me ajte akubyn urkwama mor ket dja me tu am kama ajma apynh kranh'yr ba akubyn krima mor ne box ne ajte akubyn prot ket tu am kama amu prot ne be akati kapri ne ja akati kinh ke:tkumrex ne ja mramri gedja metindjwynh me axwekam ngryk ne me axwe panh pri:ne meo ajke anhyr djwynhram ne metindjwynh pi'ok no'okkam ja kuni'a ajare dja o akati 'yr box anhyr djwynhram metindjwynh kute pi'ok no'okkam arenh jakot dja 'yr box ne kam kot a o anhyro te,kayapó
24577,jesusmi iwinacachiyta apamun “amatac ‘jawca cawsaytach uycamashun’ niyalcamaychu; ashwanpam iwinacuyta apayamu,Urubu-Kaapor
16314,a²­wi³­na²­ a²­ki³­lha³­lxa²­ a³­nhe¹­kxi²­nyhu¹­ha²­kxai³­ a²­ha³­ka³­na²­ a²­ka³­ne³­lxa²­ a³­nhe¹­kxi²­nyhu¹­ha²­kxai³­ a²­hai³­na²­ a²­sa³­nxe³­lxa²­ he¹­kxi²­nyhu¹­ha²­kxai³­ nxe³­nyhu¹­ain¹­tu¹­wi¹­ je³­su²­jah³­la²­ ta¹­hxai²­he¹­la²­,Nambikuára
1802,jakama na pu htem kris kukwak ri ra axpen nhipex nyw o axpen nhipex o ri papa me ixpe ijaewjaja ne me ape ijaew ket xwynhjaja na pu htem te ra ixkre tipxi kama ri papa pyrak nom amnepem na pu prem a axpen nhipex anhyr ket ne me pahte amnhi nhipex tumja ahpynha na pre na pu prem pama axpen kure ne axpen kax a ri papa ne nhyri axpen pumu ne te pahte axpen pumunh ket pyra ne nham parit o ri mra ta nhum kris me pane htyk o me pahte amnhi tomnuj piita hpanha amnhirer pa me ixpe ijaew ne me ape ijaew ket xwynhjaja ne htyk o te ra kot me pahte axpen nhorkwy hwyr axpen wyr o papa pyrak jao me pama axpen kure ho hapex ne hpanha tam axpen kaxyw me paxunhwy pu me hpanha axpen to mex raha ho ri papa amnepem mojes kot tirtum nhy ha me ixpe ijaew me ixte tanhma amnhi nhipex to ho ixpa ha karoja na pa prem me ape ijaew ket xwynhjaja me ate tirtum kot amnhi nhipex ket a me apumu ne me akama inhgryk ne ne axpen ma me ajarenh o: —na me pahkinha me kot mojes kaper kot amnhi nhipex ket jakama koja tirtum me ho hkra hket ne anhyr ta nhum kris me pahwyr wry ne me pahpiita me pane htyk o me pahte hkot amnhi xunhwyr a me pahpumunh kot pix ma me pahto tirtum kra jakama pa me axte me ate mojes kaper kot amnhi nhipex ket a me apumunh kot me ape tirtum kra hket a me ajarenh ket ne hamri ne me ixpe ijaew ne me ape ijaew ket xwynhjaja pu me axte axpen kam pagryk o ri papa hket ne ra te ixkre tipxi kama me pahte axpen kot ri papa pyrak,Apinayé
15639,sahonh he pꞌop haga do ky nꞌaa rod pꞌooj ub habong do be wahe maku rarejaa pꞌop haga do ky nꞌaa rod pꞌop haga do karen doo da hawat do kajaa do ky nꞌaa herꞌoot doo be wahe maku radejꞌeep paah hyy ka baad hadꞌop do kajaa ba ka be hꞌyy kawareem ta we be dajeeb kan,Nadëb
22338,ina yumopa jesus: —‍kene itinoe na'ikopo koeti itukinovo kixoku itukeovo yoxunoekene heko ya koekuni heki pahoenopi ituko'oviti itiki,Terena
9278,—xe-vy pirapire hetave ojeupe omeꞌe vaꞌekwe omboeteve ara heꞌi —upeixa voi heꞌi hesu,Kaiwá
15830,ti hyb nꞌaa hadꞌyyt nado er tsebe baad nadoo do er ahob ba er tsebe na-aaj he er hapah baad nadoo do ji ahoop doo nayyw he ji hꞌyy ganajee hom tanꞌoo ba nayyw he ji hꞌyy ganajee hom doo baad pꞌop haga do ha ji bawad dag hadꞌyyt he tanꞌoo ba baad ji bawad dak do hyb nꞌaa baad ji gadaa kan baad hadoo do ji gadoo do ta jawen,Nadëb
13975,'un te yay xe panip xap tu xapmax xohix tat tu topixxax max mo'tat puyiy tikmu'un xohix 'un 'aktux max 'apu kaxiy hok pa 'apu 'amax yay putuk 'akuxa kopah ya 'akuxa yum tu 'akuxa gay 'ohnag ha kaxiy 'amax yay putuk xexka topa pu',Maxakalí
2419,ininia xesosi tiretakiti pimaari xesosi: —kiripa ikara atoko txatai —itxari,Apurinã
1187,ne me kot ixpir ta kot paj akupym ixtir hamri ne ma akupym me akukama pika pe garirej wyr mo kama kot puj me axte axpen pumu ane,Apinayé
24717,chay tacunanchu winay simpripa tacucata chaynu sulpayacul allinpa licaycalil alawapacuptinmi chay ishcay chunca tawayu yashacunapis winay simpri cacapa puntanman uyshucaycalil un'ulacuycul alawapacuna chaynutac tacunap puntanman curunancunactalapis chulaycul nipacuna:,Urubu-Kaapor
269,imehno ritonopo maro oturuketo tuisary sa pyra jezu mana kokoro roke tynekarory etapary se mokaro mana tyyrypyryko epehpyryme osemazuhme imehno rypyry epehpyryme roropa yrome jezu toiro roke toorihse tynekaroryme tosekarose tumy a imehno rypyry epehpyryme rokene jume inekarohpyry kure tyoro onekarozomopyra ehtohme,Apalaí
20387,iwa peduru kytsa sizubaretsa isareu ezektsa bo nitsasoko nipamykysoikik mysiakzoikik: — o ahamysapyretsa tsimoziknahaktsa abaka kytsa simysapybyitsa mykaranaha sinini ykarawy bo mykaranaha ikiahatsa sinini ykarawy bo ka pao paobyitahaktsa — niy,Rikbaktsa
12628,judeuyamiꞌ esenumenka see waranti iꞌ pensa mori pe ukupikon paapaya yuwa ya innape jesus cristo kupi wenai uuriꞌnikon wani imakuiꞌsan pe judeuyamiꞌ pepin waranti imakuiꞌpi pe eꞌni maasa pra moisesya yenupantoꞌ riꞌpi yawiri pra koꞌmanni wenai toꞌ esenumenka miriri waranti tiise toꞌ esenkuꞌtisaꞌ man maasa pra cristoya imakuiꞌpi pe eꞌki paapa maimu yawiri pra eꞌki taasaꞌ pra man,Macushi
24955,natac mayanpis quiquillan lulananpita jucha-sapacta juchannaman muyuchi tayta diosman chalapacullalmi icha allin chuya nunapana licaycusha cayan,Urubu-Kaapor
9111,nhandejary remimbota a-rami ani pehayhu eꞌy tei pende reꞌyi kwery-pe pehayhu meme katu hesu reroviaha-pe gwive pee kwery cristo reꞌyi voi upea-gwi ani pejohayhu eꞌy tei pejohayhu rei ae katu peiko-vy,Kaiwá
14035,gebuje levi jesus o'takoy jekon am jeweju o'ju oajem jay adeayu awerom osodop levi dukta be- -iecugap peam dinheiro bubu'ukayu warara'acayu dak jesus o'jekon ceweju ip,Mundurukú
22000,yoko enomone kuteatimaka koeku emo'uke ituko'oviti enepone koeti: “vo'oku hokeopi uti unaem koati vinonexinovoti pevoti heu koeti kaxe kuti koe uti su'uso iyonokonoti xoko isukokonoku” koe,Terena
