index,TEXT,LANG
7338,a'ero jesus'ga pytai ga reruruka ojipyri ga rurame jesus'ga ei ga pe:,Kagwahiva
10776,ibutumy lida hawa mahadu sarona hawa mahadu tuu robire tai inynyry rityhynyrenyre,Karajá
26941,ne kam ajte metindjwynh kukradja 'o jare me kute tu pro'yr bakumrex ne kute kanga ketma mema are ne mema kum —‍gedja me'o pro'yr mon ar o ban kanga ne kam panh atema me'o'yr mon kam kute kro'a pro pyrak mjenja ne axwe nhym kam ajte me'o ne pro kanga nhym kam me'oja ne me'o kute pro kangaja'yr mon kam arym kute me'obe proo akinh pyrak ane,kayapó
12871,miriri tipo tiaron inenupaꞌpi ewomiꞌpi pedro yeꞌmaꞌpi piꞌ eraꞌmaꞌpiiya innape jesus eꞌmiꞌsaꞌkasaꞌ kupiꞌpiiya miiwini tiise paapa maimu eꞌmenukasaꞌ epuꞌti toꞌya pra awaniꞌpi aweꞌmiꞌsaꞌka eꞌpai awani taatoꞌ,Macushi
25673,paru ha te te dama iroti 'rasutuze wasu'u taha wa isisanawa nori ima asawi pese za'ra wa'aba nori ha ma'ape wanhib'apito ama asiptete sina 're aihaimana u'asi za'ra wa'aba mono za ai'ama ipe'eze uptabi za'ra wa'aba wa 'rawi te asabu za'ra wa'aba neza romha na nhere te asina ima 're irowe zani za'ra wa'aba mo taha wa wa to te dama 're aiwasu'u we za'ra wa'wa ito sina ane wa te za asiptete sina oho ama si 're aihaimana u'asi za'ra wa'aba mo,Xavánte
5536,— haꞌe jave py tape rupi ou petei sacerdote haꞌe vaꞌe oexa tei ojepekuavo ovy,Guarani
22677,itikinaikopo iseneu koeku ne xanena izarae: enepone itukoti ituke ituko'oviti nikoatimaka ne nau ho'openo iko'iparaxoke ituko'oviti ya atake koati exokovoti itukeovo pohutine isoneu xoko ituko'oviti unae ne ata enomone koeneye koeku nikea haina hainara koeneye,Terena
13277,kaxiy tikmu'un te hapxopmap-tup 'ihak nun hak mun ya tikmu'un kutok,Maxakalí
14241,— wekawen eyetaybit pin pima eya'opicugcug cuy wa'o kay — io'e,Mundurukú
17936,hatyaoseta kawihenahitene iraeha ekakoaha maisa xakaihenahititaha maisa aotyakihenahititaha hekoti maheta,Parecis
15729,ti mꞌ jerusarenh ba jesus bajee suun kan ti mꞌ tabahom pꞌop haga do tob nꞌaa henh tabegaa dak mah tug ba dag do hyb nꞌaa mꞌ  hedoo do sa sii he mꞌ tabahom ta sꞌee henh betanija had nang doo henh rabaꞌyyh hyb nꞌaa mꞌ tii ba,Nadëb
23905,o'akɨhɨ wee tamuro me'rata mari kati' da'ra' ni'karera mɨsa yaa kurakahara papera ohara a'tiro nii ohakara niiwa: “mari ke'ra o'akɨhɨ wee'kara kɨɨ po'ra nii'”,Tukano
20539,iziakbatakanahatsa zehezozokoknaha zihyrizikwarakanahaze iwaze hi nitsakikinaha — aty skaraba zaki — nikaranaha zimyijakanaha isperytsitsa kino niwatihi nitsakikinaha,Rikbaktsa
9485,“amombeꞌu-ta xejehegwigwa nheꞌe” heꞌi paulo agripa-pe ha upei katu heꞌi paulo-pe mburuvixagwasu hery vaꞌe agripa: —ay eremombeꞌuse ramo emombeꞌu katu ore-vy ndejehegwigwa nheꞌe heꞌi ixupe aipo heꞌi-ma ramo omopuꞌa paulo opo ixupe omboete-vy omombeꞌu hagwa noꞌa-rami heꞌi haꞌe omombeꞌu-vy:,Kaiwá
12012,—iwi meꞌpoki —taꞌpi toꞌya —pakiꞌnan pona ipokapiti meꞌpoki,Macushi
12573,uweiyukon piꞌ jesus eseurima tiaron mori panton ekaremekiꞌpi jesusya: —uweiyukon enepi pepin wariꞌsaꞌ yoꞌkoi itiitoꞌpe —taꞌpiiya —itiri pepin niri weꞌnannitoꞌ yaponseꞌ yoꞌkoi tiise enepi itaponseꞌ pona itiitoꞌpe,Macushi
10886,inyo bedeery ihookeki rexitoenykre deuxu dee tii dori ibutu dee riwahinymyhyre inyo lau dori ritoenyohyymyhyre,Karajá
11024,jejeꞌega sipo pemokaꞌjam rakue pe pype tekou ako je aipo momeꞌui pe nupe ikue,Kayabí
20551,— kyze deus siakbatsa mynasihyrizikpobawy uta kino niwatihi kahumo istsihitsa mysihyrizikpowyzo deus tse humo mynasihyrizikpoba,Rikbaktsa
